Address,Parcel,Status,Zillow,List Price (Latest),Lot Size,Desirability,Frontage Type,Square Footage,Price/SqFt,Neighborhood,Bedrooms,Bedrooms Up,Bathrooms,Offices,Floors,HOA fees (mo),Year Built,Storage,Yard Size,Garage Spaces,Formal Dining,Finished Basement,Previous Listing,Photo URL
1300 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1300 NW Briarcliff Pkwy,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1301 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1304 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1305 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1305 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1306 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1308 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1309 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1310 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1310 NW 47th Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1313 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1314 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1317 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1318 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1321 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1322 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1325 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1326 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1329 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1400 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1400 NW 47th Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1401 NW 47th Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1404 NW 47th Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1405 NW 47th Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1406 NW 43rd Ct,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1408 NW 47th Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1409 NW 47th Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1413 NW 47th Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
1500 NW 47th Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
3831 N Mulberry Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
3852 N Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
3900 N Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
3900 N Mulberry Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
3925 N Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
3926 N Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
3934 N Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
3935 N Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
3940 N Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
3945 N Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
3953 N Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4000 N Mulberry Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4001 N Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4001 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4003 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4004 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4005 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4007 N Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4007 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4009 N Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4009 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4010 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4011 N Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4011 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4012 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4013 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4014 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4015 N Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4018 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4019 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4020 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4024 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4025 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4026 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4027 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4028 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4029 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4030 N Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4030 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4032 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4034 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4035 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4036 N Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4036 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4040 N Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4040 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4042 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4044 N Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4044 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4047 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4048 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
4054 NW Claymont Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
